Title,URL,Published at,Positive interestingness,Positive negative coefficient,Total interestingness,Views,Likes,Dislikes,Comments,Total reaction,Global buzz index
CHOQUANTE TRANSFORMATION AVANT APRÈS !!,https://www.youtube.com/watch?v=1uG0ztvx0Hs,2016-10-29 16:00:05,0.1041,557778.0000,0.1107,5359761,557778,0,35449,593227,3179554938747
Never make fun of beginners !! 🙏,https://www.youtube.com/watch?v=so5xXfVP5eE,2024-10-26 09:37:01,0.1102,158353.0000,0.1105,1436625,158353,0,338,158691,227979457875
Day 38/365 push-up challenge in spanish !! 🇪🇸,https://www.youtube.com/watch?v=MMQFdSMVHBc,2025-02-07 18:27:38,0.1040,6490.0000,0.1104,62383,6490,0,397,6887,429631721
Put down your phone !! 🙏,https://www.youtube.com/watch?v=V9-ZcfBls7s,2024-10-19 14:48:38,0.1097,100283.0000,0.1103,914562,100283,0,623,100906,92284793172
MES RESOLUTIONS 2016,https://www.youtube.com/watch?v=UTKGBlirePk,2016-01-01 17:08:49,0.1048,72618.0000,0.1088,692786,72618,0,2749,75367,52213202462
School 😂😂,https://www.youtube.com/watch?v=ecML4x7LKFE,2023-12-07 10:51:52,0.1079,413388.0000,0.1085,3832718,413388,0,2458,415846,1593820449428
Push up level !! 😱😱,https://www.youtube.com/watch?v=ClIgUObG9n0,2024-07-19 15:46:20,0.1077,64912.0000,0.1083,602807,64912,0,399,65311,39369927977
Stay humble !! 🙏,https://www.youtube.com/watch?v=c_GE_Kv7JKo,2024-10-15 16:28:39,0.1079,136162.0000,0.1082,1262396,136162,0,451,136613,172459704748
Squat fail 😂😂,https://www.youtube.com/watch?v=_Ktw3Vvk0DY,2024-01-08 11:30:25,0.1074,219828.0000,0.1076,2046370,219828,0,295,220123,450453103510
Cette vidéo est importante…,https://www.youtube.com/watch?v=0wPMLCfs7IY,2017-11-06 17:00:36,0.1032,178759.0000,0.1075,1732385,178759,0,7545,186304,322750255040
Day 25/365 push-up challenge ! 😱,https://www.youtube.com/watch?v=Kf-kWqCbncI,2025-01-25 11:59:47,0.1065,7275.0000,0.1075,68305,7275,0,66,7341,501427005
Day 10/365 push-ups challenge !! 🔥,https://www.youtube.com/watch?v=Dt6A5p5hzTI,2025-01-10 12:49:50,0.1061,6508.0000,0.1072,61334,6508,0,67,6575,403271050
PROCRASTINATION !!!,https://www.youtube.com/watch?v=BkzY1YBwcT4,2016-03-25 17:05:27,0.1009,83815.0000,0.1070,830477,83815,0,5026,88841,73780407157
Day 67/365 one more push-up everyday during 1 year ! 🔥,https://www.youtube.com/watch?v=Geq0BYfsOv4,2025-03-08 17:46:06,0.1009,4794.0000,0.1068,47525,4794,0,284,5078,241331950
VIRÉ DE MON BOULOT !! (on parle argent et job d'été),https://www.youtube.com/watch?v=cTyFN1-7plM,2021-08-17 16:02:41,0.1035,64341.0000,0.1064,621814,64341,0,1820,66161,41139836054
VOS QUESTIONS EMBARRASSANTES !!,https://www.youtube.com/watch?v=R1dy0tj0iZ8,2016-10-18 16:00:02,0.1003,318712.0000,0.1063,3176071,318712,0,19024,337736,1072673515256
Unlucky !!! 😔😔,https://www.youtube.com/watch?v=PksUecyUlWA,2025-02-06 11:30:45,0.1058,7540.0000,0.1063,71296,7540,0,40,7580,540423680
Worst pain ever !! 😱😱,https://www.youtube.com/watch?v=Bqoz38oWnwo,2024-12-08 11:27:14,0.1055,22456.0000,0.1063,212765,22456,0,158,22614,4811467710
Me in public !! 😂😂😂,https://www.youtube.com/watch?v=A4ZX0ZFb7a0,2024-02-05 18:02:42,0.1049,95084.0000,0.1060,906002,95084,0,968,96052,87023304104
Day 41/365 challenge one more push-up everyday during 365 days !! 🔥,https://www.youtube.com/watch?v=DQQs93KIdUo,2025-02-10 17:31:12,0.1050,6912.0000,0.1059,65814,6912,0,59,6971,458789394
Home VS Gym !! 😱😱,https://www.youtube.com/watch?v=kswivHHuh-I,2024-11-24 12:24:31,0.1056,110570.0000,0.1059,1046922,110570,0,281,110851,116052350622
Day 74/365 one more push-up everyday during 1 year !! 🙏,https://www.youtube.com/watch?v=pJQJbTPd_jU,2025-03-15 17:12:55,0.0815,5464.0000,0.1054,67025,5464,0,1599,7063,473397575
ARRÊTEZ CES PERSONNES ! (je réagis aux pires vidéos fail),https://www.youtube.com/watch?v=u9emj6mgYcY,2020-10-06 16:02:38,0.1040,213615.0000,0.1051,2053026,213615,0,2123,215738,442915723188
Day 17/365 push-up challenge !! 🔥,https://www.youtube.com/watch?v=OXyo9MkHVpQ,2025-01-17 12:01:12,0.1024,6376.0000,0.1050,62280,6376,0,161,6537,407124360
I quit !! 😂😂,https://www.youtube.com/watch?v=xRqf-Aj_I6Y,2024-06-20 16:05:06,0.1044,235683.0000,0.1046,2257429,235683,0,391,236074,532920293746
I'm rude !! 😂😂,https://www.youtube.com/watch?v=OK5SS7z9bKU,2024-09-10 10:37:55,0.1021,22403.0000,0.1046,219482,22403,0,549,22952,5037550864
Celebrating my 1st subscriber !! 😱😱,https://www.youtube.com/watch?v=_CWRkmidJ9Q,2024-10-01 12:15:30,0.1033,13377.0000,0.1046,129497,13377,0,162,13539,1753259883
The best home workout !! 🙏,https://www.youtube.com/watch?v=1MCuU-VHT1E,2025-02-11 11:28:39,0.1031,5542.0000,0.1045,53769,5542,0,76,5618,302074242
Push ups level !! 😱😱,https://www.youtube.com/watch?v=VslyWyGZTPI,2024-09-17 13:08:41,0.1039,74100.0000,0.1044,713236,74100,0,358,74458,53106126088
Couple VS iPhone 😔😔 @jujufitcats,https://www.youtube.com/watch?v=W24cp3xnOrw,2024-01-01 11:04:06,0.1040,679403.0000,0.1044,6530646,679403,0,2128,681531,4450837699026
Stupid boy !! 😂😂😂,https://www.youtube.com/watch?v=7Xew_sSugio,2024-01-28 10:00:04,0.1037,155695.0000,0.1041,1501906,155695,0,702,156397,234893592682
Day 77/365 One more push-up everyday during 1 year ! 🔥,https://www.youtube.com/watch?v=aNv9lyh0-Hs,2025-03-18 16:08:20,0.1012,5198.0000,0.1040,51366,5198,0,145,5343,274448538
VOUS ALLEZ ÊTRE CHOQUÉ ! (extrême transformation),https://www.youtube.com/watch?v=CN8qfZ3Rbzw,2019-11-08 17:01:59,0.1017,136458.0000,0.1040,1341774,136458,0,3059,139517,187200283158
Sad generation.. 😔😔,https://www.youtube.com/watch?v=OZO8QfUy4Oc,2024-04-12 10:29:04,0.1035,25580.0000,0.1039,247257,25580,0,106,25686,6351043302
Gym bro ! 😂😂 @antoinedelp,https://www.youtube.com/watch?v=2FNGXiNol-o,2024-06-16 11:10:16,0.1034,393704.0000,0.1039,3808739,393704,0,1907,395611,1506779044529
Start of a friendship ! 😂😂,https://www.youtube.com/watch?v=tbT7gzME6JQ,2024-02-17 13:00:42,0.1029,375578.0000,0.1032,3649954,375578,0,1053,376631,1374685824974
